accessionNumber,cik10,company_name,download_url,filingDate,primaryDocument,saved_path,ticker
0001559720-22-000019,0001559720,"Airbnb, Inc.",https://www.sec.gov/Archives/edgar/data/1559720/000155972022000019/abnb-20220930.htm,2022-11-03,abnb-20220930.htm,"sec_10q\ABNB\Airbnb, Inc.\2022_10-Q_2022-11-03_0001559720-22-000019.htm",ABNB
0001559720-22-000012,0001559720,"Airbnb, Inc.",https://www.sec.gov/Archives/edgar/data/1559720/000155972022000012/abnb-20220630.htm,2022-08-03,abnb-20220630.htm,"sec_10q\ABNB\Airbnb, Inc.\2022_10-Q_2022-08-03_0001559720-22-000012.htm",ABNB
0001559720-22-000009,0001559720,"Airbnb, Inc.",https://www.sec.gov/Archives/edgar/data/1559720/000155972022000009/abnb-20220331.htm,2022-05-09,abnb-20220331.htm,"sec_10q\ABNB\Airbnb, Inc.\2022_10-Q_2022-05-09_0001559720-22-000009.htm",ABNB
0001628280-25-047131,0000001800,ABBOTT LABORATORIES,https://www.sec.gov/Archives/edgar/data/1800/000162828025047131/abt-20250930.htm,2025-10-29,abt-20250930.htm,sec_10q\ABT\ABBOTT LABORATORIES\2025_10-Q_2025-10-29_0001628280-25-047131.htm,ABT
0001628280-25-036720,0000001800,ABBOTT LABORATORIES,https://www.sec.gov/Archives/edgar/data/1800/000162828025036720/abt-20250630.htm,2025-07-30,abt-20250630.htm,sec_10q\ABT\ABBOTT LABORATORIES\2025_10-Q_2025-07-30_0001628280-25-036720.htm,ABT
0001628280-25-021090,0000001800,ABBOTT LABORATORIES,https://www.sec.gov/Archives/edgar/data/1800/000162828025021090/abt-20250331.htm,2025-04-30,abt-20250331.htm,sec_10q\ABT\ABBOTT LABORATORIES\2025_10-Q_2025-04-30_0001628280-25-021090.htm,ABT
0001628280-24-044602,0000001800,ABBOTT LABORATORIES,https://www.sec.gov/Archives/edgar/data/1800/000162828024044602/abt-20240930.htm,2024-10-31,abt-20240930.htm,sec_10q\ABT\ABBOTT LABORATORIES\2024_10-Q_2024-10-31_0001628280-24-044602.htm,ABT
0001628280-24-033740,0000001800,ABBOTT LABORATORIES,https://www.sec.gov/Archives/edgar/data/1800/000162828024033740/abt-20240630.htm,2024-07-31,abt-20240630.htm,sec_10q\ABT\ABBOTT LABORATORIES\2024_10-Q_2024-07-31_0001628280-24-033740.htm,ABT
0001628280-24-020011,0000001800,ABBOTT LABORATORIES,https://www.sec.gov/Archives/edgar/data/1800/000162828024020011/abt-20240331.htm,2024-05-02,abt-20240331.htm,sec_10q\ABT\ABBOTT LABORATORIES\2024_10-Q_2024-05-02_0001628280-24-020011.htm,ABT
0001628280-23-035957,0000001800,ABBOTT LABORATORIES,https://www.sec.gov/Archives/edgar/data/1800/000162828023035957/abt-20230930.htm,2023-11-01,abt-20230930.htm,sec_10q\ABT\ABBOTT LABORATORIES\2023_10-Q_2023-11-01_0001628280-23-035957.htm,ABT
0001628280-23-027203,0000001800,ABBOTT LABORATORIES,https://www.sec.gov/Archives/edgar/data/1800/000162828023027203/abt-20230630.htm,2023-08-03,abt-20230630.htm,sec_10q\ABT\ABBOTT LABORATORIES\2023_10-Q_2023-08-03_0001628280-23-027203.htm,ABT
0001628280-23-015699,0000001800,ABBOTT LABORATORIES,https://www.sec.gov/Archives/edgar/data/1800/000162828023015699/abt-20230331.htm,2023-05-04,abt-20230331.htm,sec_10q\ABT\ABBOTT LABORATORIES\2023_10-Q_2023-05-04_0001628280-23-015699.htm,ABT
0001628280-22-027550,0000001800,ABBOTT LABORATORIES,https://www.sec.gov/Archives/edgar/data/1800/000162828022027550/abt-20220930.htm,2022-11-01,abt-20220930.htm,sec_10q\ABT\ABBOTT LABORATORIES\2022_10-Q_2022-11-01_0001628280-22-027550.htm,ABT
0001628280-22-020209,0000001800,ABBOTT LABORATORIES,https://www.sec.gov/Archives/edgar/data/1800/000162828022020209/abt-20220630.htm,2022-08-02,abt-20220630.htm,sec_10q\ABT\ABBOTT LABORATORIES\2022_10-Q_2022-08-02_0001628280-22-020209.htm,ABT
0001104659-22-055285,0000001800,ABBOTT LABORATORIES,https://www.sec.gov/Archives/edgar/data/1800/000110465922055285/abt-20220331x10q.htm,2022-05-03,abt-20220331x10q.htm,sec_10q\ABT\ABBOTT LABORATORIES\2022_10-Q_2022-05-03_0001104659-22-055285.htm,ABT
0000947484-25-000085,0000947484,ARCH CAPITAL GROUP LTD.,https://www.sec.gov/Archives/edgar/data/947484/000094748425000085/acgl-20250930.htm,2025-11-06,acgl-20250930.htm,sec_10q\ACGL\ARCH CAPITAL GROUP LTD.\2025_10-Q_2025-11-06_0000947484-25-000085.htm,ACGL
0000947484-25-000066,0000947484,ARCH CAPITAL GROUP LTD.,https://www.sec.gov/Archives/edgar/data/947484/000094748425000066/acgl-20250630.htm,2025-08-05,acgl-20250630.htm,sec_10q\ACGL\ARCH CAPITAL GROUP LTD.\2025_10-Q_2025-08-05_0000947484-25-000066.htm,ACGL
0000947484-25-000047,0000947484,ARCH CAPITAL GROUP LTD.,https://www.sec.gov/Archives/edgar/data/947484/000094748425000047/acgl-20250331.htm,2025-05-07,acgl-20250331.htm,sec_10q\ACGL\ARCH CAPITAL GROUP LTD.\2025_10-Q_2025-05-07_0000947484-25-000047.htm,ACGL
0000947484-24-000144,0000947484,ARCH CAPITAL GROUP LTD.,https://www.sec.gov/Archives/edgar/data/947484/000094748424000144/acgl-20240930.htm,2024-11-07,acgl-20240930.htm,sec_10q\ACGL\ARCH CAPITAL GROUP LTD.\2024_10-Q_2024-11-07_0000947484-24-000144.htm,ACGL
0000947484-24-000105,0000947484,ARCH CAPITAL GROUP LTD.,https://www.sec.gov/Archives/edgar/data/947484/000094748424000105/acgl-20240630.htm,2024-08-06,acgl-20240630.htm,sec_10q\ACGL\ARCH CAPITAL GROUP LTD.\2024_10-Q_2024-08-06_0000947484-24-000105.htm,ACGL
0000947484-24-000073,0000947484,ARCH CAPITAL GROUP LTD.,https://www.sec.gov/Archives/edgar/data/947484/000094748424000073/acgl-20240331.htm,2024-05-09,acgl-20240331.htm,sec_10q\ACGL\ARCH CAPITAL GROUP LTD.\2024_10-Q_2024-05-09_0000947484-24-000073.htm,ACGL
0000947484-23-000102,0000947484,ARCH CAPITAL GROUP LTD.,https://www.sec.gov/Archives/edgar/data/947484/000094748423000102/acgl-20230930.htm,2023-11-09,acgl-20230930.htm,sec_10q\ACGL\ARCH CAPITAL GROUP LTD.\2023_10-Q_2023-11-09_0000947484-23-000102.htm,ACGL
0000947484-23-000078,0000947484,ARCH CAPITAL GROUP LTD.,https://www.sec.gov/Archives/edgar/data/947484/000094748423000078/acgl-20230630.htm,2023-08-02,acgl-20230630.htm,sec_10q\ACGL\ARCH CAPITAL GROUP LTD.\2023_10-Q_2023-08-02_0000947484-23-000078.htm,ACGL
0000947484-23-000057,0000947484,ARCH CAPITAL GROUP LTD.,https://www.sec.gov/Archives/edgar/data/947484/000094748423000057/acgl-20230331.htm,2023-05-04,acgl-20230331.htm,sec_10q\ACGL\ARCH CAPITAL GROUP LTD.\2023_10-Q_2023-05-04_0000947484-23-000057.htm,ACGL
0000947484-22-000077,0000947484,ARCH CAPITAL GROUP LTD.,https://www.sec.gov/Archives/edgar/data/947484/000094748422000077/acgl-20220930.htm,2022-11-03,acgl-20220930.htm,sec_10q\ACGL\ARCH CAPITAL GROUP LTD.\2022_10-Q_2022-11-03_0000947484-22-000077.htm,ACGL
0000947484-22-000060,0000947484,ARCH CAPITAL GROUP LTD.,https://www.sec.gov/Archives/edgar/data/947484/000094748422000060/acgl-20220630.htm,2022-08-03,acgl-20220630.htm,sec_10q\ACGL\ARCH CAPITAL GROUP LTD.\2022_10-Q_2022-08-03_0000947484-22-000060.htm,ACGL
0000947484-22-000037,0000947484,ARCH CAPITAL GROUP LTD.,https://www.sec.gov/Archives/edgar/data/947484/000094748422000037/acgl-20220331.htm,2022-05-04,acgl-20220331.htm,sec_10q\ACGL\ARCH CAPITAL GROUP LTD.\2022_10-Q_2022-05-04_0000947484-22-000037.htm,ACGL
0001467373-25-000222,0001467373,Accenture plc,https://www.sec.gov/Archives/edgar/data/1467373/000146737325000222/acn-20251130.htm,2025-12-18,acn-20251130.htm,sec_10q\ACN\Accenture plc\2025_10-Q_2025-12-18_0001467373-25-000222.htm,ACN
0001467373-25-000169,0001467373,Accenture plc,https://www.sec.gov/Archives/edgar/data/1467373/000146737325000169/acn-20250531.htm,2025-06-20,acn-20250531.htm,sec_10q\ACN\Accenture plc\2025_10-Q_2025-06-20_0001467373-25-000169.htm,ACN
0001467373-25-000100,0001467373,Accenture plc,https://www.sec.gov/Archives/edgar/data/1467373/000146737325000100/acn-20250228.htm,2025-03-20,acn-20250228.htm,sec_10q\ACN\Accenture plc\2025_10-Q_2025-03-20_0001467373-25-000100.htm,ACN
0001467373-24-000352,0001467373,Accenture plc,https://www.sec.gov/Archives/edgar/data/1467373/000146737324000352/acn-20241130.htm,2024-12-19,acn-20241130.htm,sec_10q\ACN\Accenture plc\2024_10-Q_2024-12-19_0001467373-24-000352.htm,ACN
0001467373-24-000196,0001467373,Accenture plc,https://www.sec.gov/Archives/edgar/data/1467373/000146737324000196/acn-20240531.htm,2024-06-20,acn-20240531.htm,sec_10q\ACN\Accenture plc\2024_10-Q_2024-06-20_0001467373-24-000196.htm,ACN
0001467373-24-000108,0001467373,Accenture plc,https://www.sec.gov/Archives/edgar/data/1467373/000146737324000108/acn-20240229.htm,2024-03-21,acn-20240229.htm,sec_10q\ACN\Accenture plc\2024_10-Q_2024-03-21_0001467373-24-000108.htm,ACN
0001467373-23-000403,0001467373,Accenture plc,https://www.sec.gov/Archives/edgar/data/1467373/000146737323000403/acn-20231130.htm,2023-12-19,acn-20231130.htm,sec_10q\ACN\Accenture plc\2023_10-Q_2023-12-19_0001467373-23-000403.htm,ACN
0001467373-23-000221,0001467373,Accenture plc,https://www.sec.gov/Archives/edgar/data/1467373/000146737323000221/acn-20230531.htm,2023-06-22,acn-20230531.htm,sec_10q\ACN\Accenture plc\2023_10-Q_2023-06-22_0001467373-23-000221.htm,ACN
0001467373-23-000124,0001467373,Accenture plc,https://www.sec.gov/Archives/edgar/data/1467373/000146737323000124/acn-20230228.htm,2023-03-23,acn-20230228.htm,sec_10q\ACN\Accenture plc\2023_10-Q_2023-03-23_0001467373-23-000124.htm,ACN
0001467373-22-000370,0001467373,Accenture plc,https://www.sec.gov/Archives/edgar/data/1467373/000146737322000370/acn-20221130.htm,2022-12-16,acn-20221130.htm,sec_10q\ACN\Accenture plc\2022_10-Q_2022-12-16_0001467373-22-000370.htm,ACN
0000796343-25-000107,0000796343,ADOBE INC.,https://www.sec.gov/Archives/edgar/data/796343/000079634325000107/adbe-20250829.htm,2025-09-24,adbe-20250829.htm,sec_10q\ADBE\ADOBE INC.\2025_10-Q_2025-09-24_0000796343-25-000107.htm,ADBE
0000796343-25-000073,0000796343,ADOBE INC.,https://www.sec.gov/Archives/edgar/data/796343/000079634325000073/adbe-20250530.htm,2025-06-25,adbe-20250530.htm,sec_10q\ADBE\ADOBE INC.\2025_10-Q_2025-06-25_0000796343-25-000073.htm,ADBE
0000796343-25-000059,0000796343,ADOBE INC.,https://www.sec.gov/Archives/edgar/data/796343/000079634325000059/adbe-20250228.htm,2025-03-26,adbe-20250228.htm,sec_10q\ADBE\ADOBE INC.\2025_10-Q_2025-03-26_0000796343-25-000059.htm,ADBE
0000796343-24-000208,0000796343,ADOBE INC.,https://www.sec.gov/Archives/edgar/data/796343/000079634324000208/adbe-20240830.htm,2024-09-25,adbe-20240830.htm,sec_10q\ADBE\ADOBE INC.\2024_10-Q_2024-09-25_0000796343-24-000208.htm,ADBE
0000796343-24-000150,0000796343,ADOBE INC.,https://www.sec.gov/Archives/edgar/data/796343/000079634324000150/adbe-20240531.htm,2024-06-26,adbe-20240531.htm,sec_10q\ADBE\ADOBE INC.\2024_10-Q_2024-06-26_0000796343-24-000150.htm,ADBE
0000796343-24-000065,0000796343,ADOBE INC.,https://www.sec.gov/Archives/edgar/data/796343/000079634324000065/adbe-20240301.htm,2024-03-27,adbe-20240301.htm,sec_10q\ADBE\ADOBE INC.\2024_10-Q_2024-03-27_0000796343-24-000065.htm,ADBE
0000796343-23-000205,0000796343,ADOBE INC.,https://www.sec.gov/Archives/edgar/data/796343/000079634323000205/adbe-20230901.htm,2023-09-27,adbe-20230901.htm,sec_10q\ADBE\ADOBE INC.\2023_10-Q_2023-09-27_0000796343-23-000205.htm,ADBE
0000796343-23-000153,0000796343,ADOBE INC.,https://www.sec.gov/Archives/edgar/data/796343/000079634323000153/adbe-20230602.htm,2023-06-28,adbe-20230602.htm,sec_10q\ADBE\ADOBE INC.\2023_10-Q_2023-06-28_0000796343-23-000153.htm,ADBE
0000796343-23-000055,0000796343,ADOBE INC.,https://www.sec.gov/Archives/edgar/data/796343/000079634323000055/adbe-20230303.htm,2023-03-29,adbe-20230303.htm,sec_10q\ADBE\ADOBE INC.\2023_10-Q_2023-03-29_0000796343-23-000055.htm,ADBE
0000796343-22-000196,0000796343,ADOBE INC.,https://www.sec.gov/Archives/edgar/data/796343/000079634322000196/adbe-20220902.htm,2022-09-28,adbe-20220902.htm,sec_10q\ADBE\ADOBE INC.\2022_10-Q_2022-09-28_0000796343-22-000196.htm,ADBE
0000796343-22-000157,0000796343,ADOBE INC.,https://www.sec.gov/Archives/edgar/data/796343/000079634322000157/adbe-20220603.htm,2022-06-29,adbe-20220603.htm,sec_10q\ADBE\ADOBE INC.\2022_10-Q_2022-06-29_0000796343-22-000157.htm,ADBE
0000796343-22-000099,0000796343,ADOBE INC.,https://www.sec.gov/Archives/edgar/data/796343/000079634322000099/adbe-20220304.htm,2022-03-30,adbe-20220304.htm,sec_10q\ADBE\ADOBE INC.\2022_10-Q_2022-03-30_0000796343-22-000099.htm,ADBE
0000006281-25-000144,0000006281,ANALOG DEVICES INC,https://www.sec.gov/Archives/edgar/data/6281/000000628125000144/adi-20250802.htm,2025-08-20,adi-20250802.htm,sec_10q\ADI\ANALOG DEVICES INC\2025_10-Q_2025-08-20_0000006281-25-000144.htm,ADI
0000006281-25-000125,0000006281,ANALOG DEVICES INC,https://www.sec.gov/Archives/edgar/data/6281/000000628125000125/adi-20250503.htm,2025-05-22,adi-20250503.htm,sec_10q\ADI\ANALOG DEVICES INC\2025_10-Q_2025-05-22_0000006281-25-000125.htm,ADI
0000006281-25-000023,0000006281,ANALOG DEVICES INC,https://www.sec.gov/Archives/edgar/data/6281/000000628125000023/adi-20250201.htm,2025-02-19,adi-20250201.htm,sec_10q\ADI\ANALOG DEVICES INC\2025_10-Q_2025-02-19_0000006281-25-000023.htm,ADI
0000006281-24-000159,0000006281,ANALOG DEVICES INC,https://www.sec.gov/Archives/edgar/data/6281/000000628124000159/adi-20240803.htm,2024-08-21,adi-20240803.htm,sec_10q\ADI\ANALOG DEVICES INC\2024_10-Q_2024-08-21_0000006281-24-000159.htm,ADI
